id,measure_a,measure_b,measure_c,measure_d,description,c_stocks_20year,annual_c_seq_tha_20year,c_stocks_35year,annual_c_seq_tha_35year,c_stocks_82year,annual_c_seq_tha_82year
37,mm03,mm05,mm07,NA,Intermittent reduced till/Crop residue retention/Cover cropping with legume/NA,61.61577174332514,0.25931018254597904,64.2137748168156,0.20883423889830632,70.94881439500958,0.14901370740994363
38,mm03,mm05,mm08,NA,Intermittent reduced till/Crop residue retention/Companion cropping with clover/NA,60.580883590960994,0.20756577492777167,62.80117719310408,0.1684743067922629,68.5263970973298,0.1194720330479952
39,mm04,mm05,mm06,NA,Intermittent zero till/Crop residue retention/Cover cropping without legume/NA,63.31600895929586,0.34432204334451483,65.32202266079821,0.24049846301209518,70.532294438765,0.14393419574842448
40,mm04,mm05,mm07,NA,Intermittent zero till/Crop residue retention/Cover cropping with legume/NA,64.57807051670082,0.40742512121476293,66.955165926723,0.2871596991813748,73.15101574475223,0.17586982143119548
41,mm04,mm05,mm08,NA,Intermittent zero till/Crop residue retention/Companion cropping with clover/NA,63.33669738769623,0.34535646476453363,65.3564743286575,0.24148279637950337,70.58766514965686,0.1446094483202763
42,mm01,mm06,mm08,NA,Reduced till/Cover cropping without legume/Companion cropping with clover/NA,58.93763531499427,0.12540336112943534,60.01310992772537,0.08881524206715678,63.51725507869864,0.058384935259810235
43,mm01,mm07,mm08,NA,Reduced till/Cover cropping with legume/Companion cropping with clover/NA,59.82711904853629,0.16987754780653647,61.19125919946433,0.12247664983112705,65.51964893913738,0.08280437258223394
44,mm02,mm06,mm08,NA,Zero till/Cover cropping without legume/Companion cropping with clover/NA,65.21171034499702,0.4391071126295728,66.35539995859139,0.2700235286633289,70.13931527626781,0.13914176693748304
45,mm02,mm07,mm08,NA,Zero till/Cover cropping with legume/Companion cropping with clover/NA,66.54997327643798,0.5060202592016211,68.00077402386461,0.31703421624256367,72.62774546643843,0.16948847657371008
46,mm03,mm06,mm08,NA,Intermittent reduced till/Cover cropping without legume/Companion cropping with clover/NA,58.05541884279512,0.081292537519478,59.31925063476186,0.06899069083962794,62.54242967777013,0.04649682061434061
47,mm03,mm07,mm08,NA,Intermittent reduced till/Cover cropping with legume/Companion cropping with clover/NA,58.879422584155705,0.12249272458750723,60.44655774957738,0.10119946554864287,64.4743055185683,0.07005628208748903
48,mm04,mm06,mm08,NA,Intermittent zero till/Cover cropping without legume/Companion cropping with clover/NA,60.30539337689933,0.19379126422468856,61.40458605795814,0.12857170293095033,64.2335078701302,0.06711972539921947
49,mm04,mm07,mm08,NA,Intermittent zero till/Cover cropping with legume/Companion cropping with clover/NA,61.29561900729898,0.24330254574467106,62.68449902276461,0.1651406447825638,66.28502966544295,0.09213828387864327
50,mm05,mm06,mm08,NA,Crop residue retention/Cover cropping without legume/Companion cropping with clover/NA,60.742308718655806,0.2156370313125123,62.775751640133734,0.16774786242168155,69.00343680964949,0.12528959051530836
51,mm05,mm07,mm08,NA,Crop residue retention/Cover cropping with legume/Companion cropping with clover/NA,61.750596789112734,0.2660514348353587,64.14625143416839,0.20690499939410034,71.39636006507075,0.1544715814350799
52,mm01,mm05,mm06,mm08,Reduced till/Crop residue retention/Cover cropping without legume/Companion cropping with clover,62.45354728402859,0.3011989595811514,64.690461864913,0.2224538688439464,71.48861837437423,0.1555966827680491
53,mm02,mm05,mm06,mm08,Zero till/Crop residue retention/Cover cropping without legume/Companion cropping with clover,70.52793166899244,0.7049181788293438,72.90999964089406,0.4572978053005479,80.08751590868235,0.26046128684497744
54,mm03,mm05,mm06,mm08,Intermittent reduced till/Crop residue retention/Cover cropping without legume/Companion cropping with clover,61.28972333972099,0.24300776236577165,63.767265539727646,0.1960768309815076,70.17945889413264,0.13963132325290775
55,mm04,mm05,mm06,mm08,Intermittent zero till/Crop residue retention/Cover cropping without legume/Companion cropping with clover,64.19329740167348,0.3881864654633958,66.45900471490711,0.2729836645580637,72.35063473719592,0.16610907743660633
56,mm01,mm05,mm07,mm08,Reduced till/Crop residue retention/Cover cropping with legume/Companion cropping with clover,63.59741898725727,0.35839254474258553,66.20694493020318,0.2657819564236657,74.06753287410925,0.18704685959408593
57,mm02,mm05,mm07,mm08,Zero till/Crop residue retention/Cover cropping with legume/Companion cropping with clover,72.24908076199324,0.790975633479384,75.02731777540134,0.5177926091436132,83.29205069960062,0.2995409794171515
58,mm03,mm05,mm07,mm08,Intermittent reduced till/Crop residue retention/Cover cropping with legume/Companion cropping with clover,62.34774955736961,0.2959090732482025,65.21633220052507,0.23747873557571983,72.66372213722352,0.16992721646133313
59,mm04,mm05,mm07,mm08,Intermittent zero till/Crop residue retention/Cover cropping with legume/Companion cropping with clover,65.46391575605338,0.4517173831823911,68.10334117401192,0.3199647062467725,74.98735747666238,0.19826423279595343
